pfam_accession	pfam_id	description
PF16763.11	Spidroin_N	Major ampullate spidroin 1, spider silk protein 1, N-term
PF22464.3	Spike_JR1	Spike protein P1, first jelly-roll domain
PF22465.3	Spike_JR2	Spike protein P1, second jelly-roll domain
PF17072.11	Spike_torovirin	Torovirinae spike glycoprotein
PF02513.24	Spin-Ssty	Spin/Ssty Family
PF09431.16	SPIN90_LRD	SPIN90/Ldb17, leucine-rich domain
PF08234.18	Spindle_Spc25	Chromosome segregation protein Spc25
PF28219.1	Spindly	Spindly
PF05215.20	Spiralin	Spiralin domain
PF28023.1	SPJ_0845_N	SPJ_0845 N-terminal domain
PF04435.24	SPK	Domain of unknown function (DUF545)  
PF20903.4	SPL	Spore photoproduct lyase
PF11132.14	SplA	Transcriptional regulator protein (SplA)
PF26745.1	SPM	SPM domain
PF15075.12	SPMAP1-like	Sperm microtubule associated protein 1
PF22589.3	SPMIP1	Sperm microtubule inner protein 1
PF14983.11	SPMIP10-like	Sperm-associated microtubule inner protein 10
PF22593.4	SPMIP11	Sperm microtubule inner protein 11
PF15093.12	SPMIP4-like	Sperm-associated microtubule inner protein 4
PF22573.3	SPMIP5	Sperm-associated microtubule inner protein 5
PF22574.2	SPMIP8	Sperm microtubule inner protein 8
PF17950.8	SpmSyn_N	S-adenosylmethionine decarboxylase N -terminal
PF21974.2	SPN1_m3Gcap_bd	Snurportin1, m3G cap-binding domain
PF22953.4	SpnB_Rossmann	Polyketide synthase extender module SpnB, Rossmann fold domain
PF08769.18	Spo0A_C	Sporulation initiation factor Spo0A C terminal
PF07070.17	Spo0M	SpoOM protein
PF03533.20	SPO11_like	SPO11 homologue
PF05032.18	Spo12	Spo12 family
PF21698.4	Spo16_C	Spo16 protein, C-terminal
PF19225.7	Spo16_N	Spo16 protein, N-terminal
PF25749.2	SPO1_gp41	Phage SPO1 gene 41 protein family
PF08631.17	SPO22	Meiosis protein SPO22/ZIP4 like
PF22044.3	SPO24	Sporulation protein 24
PF03907.19	Spo7	Spo7-like protein
PF15407.13	Spo7_2_N	Sporulation protein family 7
PF14689.12	SPOB_a	Sensor_kinase_SpoOB-type, alpha-helical domain
PF14682.13	SPOB_ab	Sporulation initiation phospho-transferase B, C-terminal
PF07744.20	SPOC	SPOC domain
PF20918.3	SPOCS_spoVID-N	SPOCS_spoVID-N
PF23121.2	SPOC_AIPP2	AIPP2, SPOC-like domain
PF11964.14	SpoIIAA-like	SpoIIAA-like
PF08486.16	SpoIID	Stage II sporulation protein
PF07228.18	SpoIIE	Stage II sporulation protein E (SpoIIE)
PF19732.5	SpoIIE_N	Stage II sporulation protein E N-terminal
PF06686.17	SpoIIIAC	Stage III sporulation protein AC/AD protein family
PF27550.1	SpoIIIAG_C	SpoIIIAG C-terminal domain
PF12685.14	SpoIIIAH	SpoIIIAH-like protein
PF12116.15	SpoIIID	Stage III sporulation protein D
PF01944.23	SpoIIM	Stage II sporulation protein M
PF07454.19	SpoIIP	Stage II sporulation protein P (SpoIIP)
PF14171.12	SpoIISA_toxin	Toxin SpoIISA, type II toxin-antitoxin system
PF28064.1	SpoIISB	Stage II sporulation protein SB-like
PF14185.12	SpoIISB_antitox	Antitoxin SpoIISB, type II toxin-antitoxin system 
PF09547.17	SpoIVA_ATPase	Stage IV sporulation protein A, ATPase domain
PF20439.4	SpoIVA_C	Sporulation stage IV protein A, C-terminal
PF20438.4	SpoIVA_middle	Stage IV sporulation protein A, middle domain
PF27653.1	SPOK2_N	Spore killer 2 N-terminal domain
PF06468.20	Spond_N	Spondin_N
PF09388.16	SpoOE-like	Spo0E like sporulation regulatory protein
PF05036.19	SPOR	SPOR domain
PF11122.14	Spore-coat_CotD	Inner spore coat protein D
PF10612.15	Spore-coat_CotZ	Spore coat protein Z
PF26301.1	spore_CmpA	Cortex morphogenetic protein A family
PF14153.12	Spore_coat_CotO	Spore coat protein CotO
PF27663.1	Spore_coat_YutH	Spore coat putative kinase YutH
PF10957.14	Spore_Cse60	Sporulation protein Cse60 
PF28051.1	Spore_exo_CotA	Spore coat protein CotA-like
PF05504.17	Spore_GerAC	Spore germination B3/ GerAC like, C-terminal 
PF25198.2	Spore_GerAC_N	Spore germination protein N-terminal domain
PF27777.1	Spore_germination_GerPD	Putative spore germination protein GerPD
PF09671.17	Spore_GerQ	Spore coat protein (Spore_GerQ)
PF19568.6	Spore_III_AA	Sporulation stage III, protein AA
PF09548.16	Spore_III_AB	Stage III sporulation protein AB (spore_III_AB)
PF09546.16	Spore_III_AE	Stage III sporulation protein AE (spore_III_AE)
PF09581.17	Spore_III_AF	Stage III sporulation protein AF (Spore_III_AF)
PF09551.16	Spore_II_R	Stage II sporulation protein R (spore_II_R)
PF03845.20	Spore_permease	Spore germination protein
PF09575.16	Spore_SspJ	Small spore protein J (Spore_SspJ)
PF09578.16	Spore_YabQ	Spore cortex protein YabQ
PF14147.12	Spore_YhaL	Sporulation protein YhaL
PF09580.16	Spore_YhcN_YlaJ	Sporulation lipoprotein YhcN/YlaJ (Spore_YhcN_YlaJ)
PF09577.16	Spore_YpjB	Sporulation protein YpjB (SpoYpjB)
PF09579.16	Spore_YtfJ	Sporulation protein YtfJ (Spore_YtfJ)
PF14034.12	Spore_YtrH	Sporulation protein YtrH
PF09560.16	Spore_YunB	Sporulation protein YunB (Spo_YunB)
PF05642.17	Sporozoite_P67	Sporozoite P67 surface antigen
PF12164.14	SporV_AA	Stage V sporulation protein AA
PF07084.18	Spot_14	Thyroid hormone-inducible hepatic protein Spot 14
PF02590.23	SPOUT_MTase	Predicted SPOUT methyltransferase
PF14419.13	SPOUT_MTase_2	AF2226-like SPOUT RNA Methylase fused to THUMP
PF00588.25	SpoU_methylase	SpoU rRNA Methylase family
PF12105.14	SpoU_methylas_C	SpoU, rRNA methylase, C-terminal
PF08032.18	SpoU_sub_bind	RNA 2'-O ribose methyltransferase substrate binding
PF22655.2	SpoU_sub_bind_like	SpoU L30e-like domain
PF08183.17	SpoV	Stage V sporulation protein family
PF13782.12	SpoVAB	Stage V sporulation protein AB
PF03862.19	SpoVAC_SpoVAEB	SpoVAC/SpoVAEB sporulation membrane protein
PF07451.18	SpoVAD	Stage V sporulation protein AD (SpoVAD)
PF14097.12	SpoVAE	Stage V sporulation protein AE1
PF04026.18	SpoVG	SpoVG
PF14069.12	SpoVIF	Stage VI sporulation protein F
PF04293.21	SpoVR	SpoVR like protein
PF24755.3	SpoVR_C	SpoVR-like C-terminal domain
PF04232.18	SpoVS	Stage V sporulation protein S (SpoVS)
PF15714.12	SpoVT_C	Stage V sporulation protein T C-terminal, transcription factor
PF28172.1	SpoV_N	SpoV, N-terminal domain
PF06550.16	SPP	Signal-peptide peptidase, presenilin aspartyl protease
PF07448.18	Spp-24	Secreted phosphoprotein 24 (Spp-24) cystatin-like domain
PF22768.2	SPP1_Dit	Siphovirus-type tail component, C-terminal domain
PF20787.3	SPP1_GP23-1	SPP1 phage GP23.1
PF05133.20	SPP1_portal	Phage portal protein, SPP1 Gp6-like
PF15356.12	SPR1	Psoriasis susceptibility locus 2
PF12118.13	SprA-related	SprA-related family
PF14349.12	SprA_N	Motility related/secretion protein
PF13573.13	SprB	SprB repeat
PF10218.15	SPRING1	SREBP regulating gene protein
PF05210.19	Sprouty	Sprouty protein (Spry)
PF14820.11	SPRR2	Small proline-rich 2
PF10263.16	SprT-like	SprT-like family
PF22934.2	SPRTN_ZBD	Spartan-like zinc binding domain
PF00622.37	SPRY	SPRY domain
PF08644.18	SPT16	FACT complex subunit (SPT16/CDC68)
PF21091.3	SPT16_C	FACT complex subunit SPT16, C-terminal domain
PF08243.17	SPT2	SPT2 chromatin protein
PF12090.14	Spt20_SEP	Spt20, SEP domain
PF25603.2	SPT23_MGA2_DBD	SPT23/MGA2 DNA-binding domain
PF22878.2	SPT2_N	SPT2 N-terminal domain
PF06093.20	Spt4	Spt4/RpoE2 zinc finger
PF17734.7	Spt46	Spermatogenesis-associated protein 46
PF03439.19	Spt5-NGN	Early transcription elongation factor of RNA pol II, NGN section
PF11942.14	Spt5_N	Spt5 transcription elongation factor, acidic N-terminal
PF14632.12	SPT6_acidic	Acidic N-terminal SPT6
PF21710.4	Spt6_S1	Spt6, S1/OB domain
PF11779.14	SPT_ssu-like	Small subunit of serine palmitoyltransferase-like
PF18033.8	SpuA_C	SpuA C-terminal
PF03539.20	Spuma_A9PTase	Spumavirus aspartic protease (A9)
PF21915.4	Sputnik_MCP_1st	Sputnik virophage major capsid protein 1st domain
PF25635.1	SPV1_VP10	Sulfolobus polyhedral virus 1 capsid protein VP10
PF25646.1	SPV1_VP4	Sulfolobus polyhedral virus 1 major capsid protein VP4
PF03534.19	SpvB	Salmonella virulence plasmid 65kDa B protein
PF05563.19	SpvD	Salmonella plasmid virulence protein SpvD
PF03779.21	SPW	SPW repeat domain
PF28024.1	SPW_0924	SPW_0924-like protein
PF03105.25	SPX	SPX domain
PF28059.1	SpxO	Anti-adapter protein SpxO-like
PF11357.15	Spy1	Cell cycle regulatory protein
PF21642.3	SP_0191-like	SP_0191-like
PF08999.15	SP_C-Propep	Surfactant protein C, N terminal propeptide
PF16845.12	SQAPI	Aspartic acid proteinase inhibitor
PF13243.13	SQHop_cyclase_C	Squalene-hopene cyclase C-terminal domain
PF13249.13	SQHop_cyclase_N	Squalene-hopene cyclase N-terminal domain
PF00494.25	SQS_PSY	Squalene/phytoene synthase
PF00299.25	Squash	Squash family serine protease inhibitor
PF10500.15	SR-25	Nuclear RNA-splicing-associated protein
PF13790.12	SR1P	SR1 protein
PF18491.8	SRA	SET and RING associated domain
PF07304.17	SRA1	Steroid receptor RNA activator (SRA1)
PF02586.20	SRAP	SOS response associated peptidase (SRAP)
PF08136.18	SRA_like	Ribosome hibernation factor SRA
PF26348.1	SRA_ScoMcrA	ScoMcrA-like, SRA domain
PF08832.16	SRC-1	Steroid receptor coactivator
PF00530.24	SRCR	Scavenger receptor cysteine-rich domain
PF15494.12	SRCR_2	Scavenger receptor cysteine-rich domain
PF03125.25	Sre	Sre G protein-coupled chemoreceptor
PF00319.24	SRF-TF	SRF-type transcription factor (DNA-binding and dimerisation domain)
PF24296.2	SrfA	SrfA protein
PF07520.17	SrfB	Virulence factor SrfB
PF02118.28	Srg	Srg family chemoreceptor
PF08236.18	SRI	SRI (Set2 Rpb1 interacting) domain
PF04086.20	SRP-alpha_N	Signal recognition particle, alpha subunit, N-terminal
PF02290.21	SRP14	Signal recognition particle 14kD protein
PF01922.24	SRP19	SRP19 protein
PF00660.23	SRP1_TIP1	Seripauperin and TIP1 family
PF05022.18	SRP40_C	SRP40, C-terminal domain
PF00448.29	SRP54	SRP54-type protein, GTPase domain
PF02881.25	SRP54_N	SRP54-type protein, helical bundle domain
PF16969.11	SRP68	RNA-binding signal recognition particle 68
PF08492.18	SRP72	SRP72 RNA-binding domain
PF05486.18	SRP9-21	Signal recognition particle 9 kDa protein (SRP9)
PF19307.6	SrpI-like	Type 2A encapsulin shell protein SrpI-like
PF09439.17	SRPRB	Signal recognition particle receptor beta subunit
PF02978.27	SRP_SPB	Signal peptide binding domain
PF17004.12	SRP_TPR_like	Putative TPR-like repeat
PF07709.17	SRR	Seven Residue Repeat
PF07985.19	SRR1	SRR1 domain
PF15230.12	SRRM_C	Serine/arginine repetitive matrix protein C-terminus
PF15872.10	SRTM1	Serine-rich and transmembrane domain-containing protein 1
PF09201.17	SRX	SRX, signal recognition particle receptor alpha subunit
PF27015.1	SR_desmoplakin_3	Desmoplakin-like, Spectrin domain
PF21097.4	SR_plectin_7	Spectrin repeat
PF27378.1	SsaM	SsaM
PF28280.1	SsaO	Secretion system apparatus protein SsaO
PF28283.1	SsaP	Secretion system apparatus protein SsaP
PF06378.17	SSAP_Sak	Sak Single Strand Annealing Protein
PF00436.32	SSB	Single-strand binding protein family
PF22657.3	SSB_1	Another single-strand binding protein family
PF24120.2	SsdA_C	Single-strand DNA deaminase toxin A, C-terminal
PF17878.9	ssDBP	Phage single-stranded DNA-binding protein
PF18361.7	ssDBP_DBD	Single stranded DNA-binding protein ss DNA binding domain
PF10141.15	ssDNA-exonuc_C	Single-strand DNA-specific exonuclease, C terminal domain
PF18333.7	ssDNA_DBD	Non-canonical single-stranded DNA-binding domain
PF18272.6	ssDNA_TraI_N	single-stranded DNA binding TraI N-terminal subdomain
PF04503.19	SSDP	Single-stranded DNA binding protein, SSDP
PF28282.1	SseA	Type III secretion system chaperone SseA
PF07179.18	SseB	SseB protein N-terminal domain
PF14581.12	SseB_C	SseB protein C-terminal domain
PF04888.18	SseC	Secretion system effector C (SseC) like family 
PF28311.1	SseF	Type III secretion systems effector SseF/SseG family
PF24688.2	SseK_NleB	SseK/NleB family
PF00474.24	SSF	Sodium:solute symporter family
PF14723.12	SSFA2_C	Sperm-specific antigen 2 C-terminus
PF21181.3	SsfX3_N	SsfX3, N-terminal domain
PF04686.19	SsgA	Streptomyces sporulation and cell division protein, SsgA
PF00720.23	SSI	Subtilisin inhibitor-like
PF04056.21	Ssl1	Ssl1-like
PF27515.1	Ssl2009_C	Ssl2009 C-terminal domain
PF20067.6	SSL_N	Strictosidine synthase-like, N-terminal
PF09199.16	SSL_OB	Staphylococcal superantigen-like OB-fold domain 
PF27720.1	SSNA1	Microtubule nucleation factor SSNA1
PF27229.1	SSO2105_N	SSO2105 N-terminal domain
PF27250.1	SSO3021_2nd	Uncharacterized protein SSO3021, second domain
PF22445.1	Ssol_1539-like_2nd	Ssol_1539-like, second domain
PF06933.18	SSP160	Special lobe-specific silk protein SSP160
PF04386.19	SspB	Stringent starvation protein B
PF08141.19	SspH	Small acid-soluble spore protein H family
PF14098.12	SSPI	Small, acid-soluble spore protein I
PF08176.18	SspK	Small acid-soluble spore protein K family
PF28063.1	SspM	Small, acid-soluble spore protein M
PF08177.17	SspN	Small acid-soluble spore protein N family
PF08175.18	SspO	Small acid-soluble spore protein O family
PF08179.18	SspP	Small acid-soluble spore protein P family
PF03531.21	SSrecog	Structure-specific recognition protein (SSRP1)
PF21092.3	SSRP1_C	FACT complex subunit SSRP1, C-terminal domain
PF18877.7	SSSPR-51	SSSPR-51 domain
PF15836.11	SSTK-IP	SSTK-interacting protein, TSSK6-activating co-chaperone protein
PF04722.19	Ssu72	Ssu72-like protein
PF11966.14	SSURE	SSURE domain
PF20940.3	SSV1_D-63	Sulfolobus spindle-shape virus 1, protein D-63
PF07935.17	SSV1_ORF_D-335	ORF D-335-like protein
PF09514.16	SSXRD	SSXRD motif
PF05030.18	SSXT	SSXT protein (N-terminal region)
PF04184.19	ST7	ST7 protein
PF16664.11	STAC2_u1	Unstructured on SH3 and cysteine-rich domain-containing protein 2
PF08514.18	STAG	STAG domain  
PF18185.8	STALD	Sir2- and TIR-associating SLOG family
PF03298.19	Stanniocalcin	Stanniocalcin family
PF14731.13	Staphopain_pro	Staphopain proregion
PF09022.15	Staphostatin_A	Staphostatin A
PF09023.16	Staphostatin_B	Staphostatin B
PF04022.17	Staphylcoagulse	Staphylocoagulase repeat
PF02821.23	Staphylokinase	Staphylokinase/Streptokinase family
PF10100.15	Staph_opine_DH	Staphylopine dehydrogenase
PF22381.3	Staph_reg_Sar_Rot	Transcriptional regulator SarA/Rot
PF01123.26	Stap_Strp_toxin	Staphylococcal/Streptococcal toxin, OB-fold domain
PF02876.25	Stap_Strp_tox_C	Staphylococcal/Streptococcal toxin, beta-grasp domain
PF01852.26	START	START domain
PF19569.6	START_2	START-like superfamily domain
PF16544.11	STAR_dimer	Homodimerisation region of STAR domain protein
PF01740.27	STAS	STAS domain
PF13466.13	STAS_2	Mlab, STAS domain
PF12162.14	STAT1_TAZ2bind	STAT1 TAZ2 binding domain
PF12188.14	STAT2_C	Signal transducer and activator of transcription 2 C terminal
PF14596.12	STAT6_C	STAT6 C-terminal
PF18214.8	STATa_Ig	STATa Immunoglobulin-like domain
PF24629.2	STATB_N	Signal transducer and activator of transcription b N-terminal
PF03875.18	Statherin	Statherin
PF00836.25	Stathmin	Stathmin family
PF01017.27	STAT_alpha	STAT transcription factor, coiled-coil domain
PF02864.21	STAT_bind	STAT protein, DNA binding domain
PF02865.23	STAT_int	STAT protein, protein interaction domain
PF21354.4	STAT_linker	Signal transducer and activator of transcription, linker domain
PF16482.12	Staufen_C	Staufen C-terminal domain
PF12638.13	Staygreen	Staygreen protein
PF28231.1	STB2_C	STB2 C-terminal domain
PF10330.15	Stb3	Putative Sin3 binding protein
PF25995.1	STB6_N	STB6-like, N-terminal domain
PF28167.1	StbA-like	Plasmid stabilization protein StbA-like
PF06406.18	StbA_N	Plasmid segregation protein ParM, N-terminal
PF09075.16	STb_secrete	Heat-stable enterotoxin B, secretory
PF12898.14	Stc1	Stc1 domain
PF20944.3	StcE_b-sandwich	Metalloprotease StcE, beta-sandwich domain
PF17235.8	STD1	STD1/MTH1
PF02200.23	STE	STE like transcription factor
PF02116.21	STE2	Fungal pheromone mating factor STE2 GPCR
PF02076.23	STE3	Pheromone A receptor
PF11610.13	Ste5	Scaffold protein Ste5, Fus3-binding region
PF12194.15	Ste5_C	Protein kinase Fus3-binding
PF12555.14	SteA-like_C	SteA-like C-terminal domain
PF17101.11	Stealth_CR1	Stealth protein CR1, conserved region 1
PF11380.14	Stealth_CR2	Stealth protein CR2, conserved region 2
PF17102.11	Stealth_CR3	Stealth protein CR3, conserved region 3
PF17103.11	Stealth_CR4	Stealth protein CR4, conserved region 4
PF25809.1	STEEP1	STEEP1 domain
PF03385.24	STELLO	STELLO glycosyltransferases
PF21058.4	Stereocilin	Stereocilin
PF03015.25	Sterile	Male sterility protein
PF02544.22	Steroid_dh	3-oxo-5-alpha-steroid 4-dehydrogenase 
PF12349.15	Sterol-sensing	Sterol-sensing domain of SREBP cleavage-activation
PF08498.16	Sterol_MT_C	Sterol methyltransferase C-terminal
PF17410.8	Stevor	Subtelomeric Variable Open Reading frame
PF15809.11	STG	Simian taste bud-specific gene product family
PF17830.7	STI1-HOP_DP	STI1/HOP, DP domain
PF04885.20	Stig1	Stigma-specific STIG1-like protein family
PF15253.12	STIL_N	STIL N-terminal domain
PF12400.14	STIMATE	STIMATE family
PF13756.13	Stimulus_sens_1	Stimulus-sensing domain
PF15009.13	STING_LBD	STING ligand-binding domain
PF23417.2	STING_TM	STING transmembrane domain
PF11202.15	StiP	Tellurite-like stress resistance cysteine protease StiP
PF09061.12	Stirrup	Stirrup
PF22405.3	STIV-like_capsid	Sulfolobus turreted icosahedral virus 1-like, major capsid protein
PF08960.17	STIV_B116-like	STIV B116-like
PF21881.3	STIV_penton_2nd	A223 penton protein second domain
PF21878.3	STIV_turret_1st	C381 turret protein 1st galactose-binding domain-like
PF21876.3	STIV_turret_2nd	C381 turret protein 2nd galactose-binding domain-like
PF21879.3	STIV_turret_3rd	C381 turret protein Nucleoplasmin-like/VP domain
PF10494.16	Stk19	Inactive serine-threonine protein kinase 19
PF11485.16	STK_08120-like	STK_08120-like
PF27373.1	STK_12200	STK_12200 family
PF21369.4	STL11_N	STL11, N-terminal
PF09598.16	Stm1_N	Stm1
PF28093.1	STM3845	STM3845 retron effector protein
PF07660.20	STN	Secretin and TonB N terminus short domain
PF10451.16	Stn1	Telomere regulation protein Stn1
PF09170.17	STN1_2	CST, complex subunit STN1, C terminal
PF12659.14	Stn1_C	Telomere capping C-terminal wHTH
PF12191.14	stn_TNFRSF12A	Tumour necrosis factor receptor stn_TNFRSF12A_TNFR domain
PF16851.11	Stomagen	Stomagen
PF11585.14	Stomoxyn	Insect antimicrobial peptide, stomoxyn
PF12016.14	Stonin2_N	Stonin 2
PF21109.3	Stonustoxin_helical	Stonustoxin helical domain
PF16891.11	STPPase_N	Serine-threonine protein phosphatase N-terminal domain
PF21107.3	STPRs	STPRs (score and three amino acid peptide repeats)
PF06638.17	Strabismus	Strabismus protein
PF04270.19	Strep_his_triad	Streptococcal histidine triad protein 
PF14404.12	Strep_pep	Ribosomally synthesized peptide in Streptomyces species
PF06696.17	Strep_SA_rep	Streptococcal surface antigen repeat
PF01657.23	Stress-antifung	Salt stress response/antifungal
PF08232.18	Striatin	Striatin family
PF10266.15	Strumpellin	Hereditary spastic paraplegia protein strumpellin
PF03088.23	Str_synth	Strictosidine synthase
PF28249.1	StsA_sacti_RiPP	Sactipeptide RiPP StsA
PF02516.21	STT3	Oligosaccharyl transferase STT3, N-terminal
PF21436.3	STT3-PglB_core	STT3/PglB/AglB core domain
PF18527.8	STT3_PglB_C	STT3/PglB C-terminal beta-barrel domain
PF21042.3	Stu2_CTS	Stu2,  C-terminal segment 
PF21527.3	Stv	Putative adhesin Stv domain
PF26585.1	STX17_N	STX17-like, N-terminal domain
PF09177.16	STX6_10_61_N	Syntaxin 6/10/61, N-terminal
PF17562.7	Styelin	Styelin
PF24175.3	SU10_adaptor	SU10 adaptor protein
PF17236.9	SU10_MCP	SU10 major capsid protein
PF23899.2	SU10_portal	Phage SU10 portal protein
PF18179.6	SUa-2TM	SMODS- and Ubiquitin system-associated 2TM effector domain
PF03481.20	Sua5_C	Threonylcarbamoyl-AMP synthase, C-terminal domain
PF01300.25	Sua5_yciO_yrdC	Telomere recombination
PF18213.7	SUB1_ProdP9	SUB1 protease Prodomain ProdP9 
PF19151.5	Sublancin	Sublancin
PF24178.2	Subterisin	Lasso peptide subterisin
PF11420.14	Subtilosin_A	Bacteriocin subtilosin A
PF13607.12	Succ_CoA_lig	Succinyl-CoA ligase like flavodoxin domain
PF02910.26	Succ_DH_flav_C	Fumarate reductase flavoprotein C-term
PF06999.18	Suc_Fer-like	Sucrase/ferredoxin-like
PF09244.18	Suc_Porlyase_C	Sucrose phosphorylase, C-terminal
PF02140.24	SUEL_Lectin	D-galactoside/L-rhamnose binding SUEL lectin domain
PF05843.21	Suf	Suppressor of forked protein (Suf)
PF01458.24	SUFBD_core	SUF system FeS cluster assembly, SufBD core domain
PF19295.6	SufBD_N	SufBD protein N-terminal region
PF02657.21	SufE	Fe-S metabolism associated domain
PF05076.19	SUFU	Suppressor of fused protein (SUFU)
PF12470.14	SUFU_C	Suppressor of Fused Gli/Ci N terminal binding domain
PF04198.20	Sugar-bind	Putative sugar-binding domain
PF11471.14	Sugarporin_N	Maltoporin periplasmic N-terminal extension
PF00083.31	Sugar_tr	Sugar (and other) transporter
PF06800.19	Sugar_transport	Sugar transport protein
PF01253.28	SUI1	Translation initiation factor SUI1
PF16619.11	SUIM_assoc	Unstructured region C-term to UIM in Ataxin3
PF14433.12	SUKH-3	SUKH-3 immunity protein
PF14435.12	SUKH-4	SUKH-4 immunity protein
PF14567.12	SUKH_5	SMI1-KNR4 cell-wall
PF14568.12	SUKH_6	SMI1-KNR4 cell-wall
PF03846.21	SulA	Cell division inhibitor SulA
PF08257.17	Sulfakinin	Sulfakinin family
PF00884.29	Sulfatase	Sulfatase
PF14707.12	Sulfatase_C	C-terminal region of aryl-sulfatase
PF00916.27	Sulfate_transp	Sulfate permease family
PF05584.18	Sulfolobus_pRN	Sulfolobus plasmid regulatory protein
PF00685.34	Sulfotransfer_1	Sulfotransferase domain
PF03567.21	Sulfotransfer_2	Sulfotransferase family
PF13469.13	Sulfotransfer_3	Sulfotransferase family
PF17784.8	Sulfotransfer_4	Sulfotransferase domain
PF19798.5	Sulfotransfer_5	Sulfotransferase domain
PF12193.14	Sulf_coat_C	Sulfolobus virus coat protein C terminal
PF28260.1	sulf_resp_HmcD	Sulfate respiration complex protein HmcD
PF04143.20	Sulf_transp	Sulphur transport
PF09037.17	Sulphotransf	Stf0 sulphotransferase
PF03856.19	SUN	Beta-glucosidase (SUN family)
PF22157.3	SupH-like_C	Sucrose hydrolase-like, C-terminal domain
PF11414.14	Suppressor_APC	Adenomatous polyposis coli tumour suppressor protein
PF11479.14	Suppressor_P21	RNA silencing suppressor P21 C-terminal domain
PF06687.18	SUR7	SUR7/PalI family
PF09312.17	SurA_N	SurA N-terminal domain
PF13623.12	SurA_N_2	SurA-like N-terminal domain
PF13624.12	SurA_N_3	SurA-like N-terminal domain
PF01975.24	SurE	Survival protein SurE
PF02104.21	SURF1	SURF1 family
PF05477.17	SURF2	Surfeit locus protein 2 (SURF2)
PF02077.21	SURF4	SURF4 family
PF04935.18	SURF6	Surfeit locus protein 6
PF22343.2	Surface-like_ins_dom	Pilus-presented adhesin helical insertion domain
PF01617.25	Surface_Ag_2	Surface antigen
PF11054.15	Surface_antigen	Sporozoite surface antigen (SAG) protein domain
PF09006.17	Surfac_D-trimer	Lung surfactant protein D coiled-coil trimerisation
PF07712.19	SURNod19	Stress up-regulated Nod 19
PF01805.26	Surp	Surp module
PF12741.14	SusD-like	Susd and RagB outer membrane lipoprotein 
PF12771.14	SusD-like_2	Starch-binding associating with outer membrane
PF14322.13	SusD-like_3	Starch-binding associating with outer membrane
PF07980.18	SusD_RagB	SusD family
PF14292.13	SusE	SusE outer membrane protein
PF17142.11	SusF_N	Outer membrane protein SusF, N-terminal domain
PF16411.11	SusF_SusE	SusF/SusE starch specific CBMs
PF23915.2	SusG_C	Alpha-amylase SusG C-terminal domain
PF20756.3	SusG_CBM58	Alpha-amylase SusG, CBM58 domain
PF00084.27	Sushi	Sushi repeat (SCR repeat)
PF09014.17	Sushi_2	Beta-2-glycoprotein-1 fifth domain
PF19904.7	SusR_C	SusR C-terminal domain
PF24862.2	SUS_EPBD	Sucrose synthase EPBD domain
PF24861.3	SUS_N	Sucrose synthase N-terminal
PF20661.3	SutA-RBD	SutA RNAP-binding domain
PF12513.16	SUV3_C	ATP-dependent RNA helicase SUV3 C-terminal domain
PF18147.7	Suv3_C_1	Suv3 C-terminal domain 1
PF18114.8	Suv3_N	Suv3 helical N-terminal domain
PF26734.1	SUVR5_N	SUVR5 N-terminal domain
PF12752.13	SUZ	SUZ domain
PF12901.13	SUZ-C	SUZ-C motif
PF05326.18	SVA	Seminal vesicle autoantigen (SVA)
PF08622.17	Svf1	Svf1-like N-terminal lipocalin domain
PF17187.11	Svf1_C	Svf1-like C-terminal lipocalin-like domain
PF15811.12	SVIP	Small VCP/p97-interacting protein
PF12113.14	SVM_signal	SVM protein signal sequence
PF20888.3	SVN	Scytovirin
PF17381.8	Svs_4_5_6	Seminal vesicle secretory proteins 4/5/6
PF10578.15	SVS_QK	Seminal vesicle protein repeat
PF15430.12	SVWC	Single domain von Willebrand factor type C
PF22081.2	SwaI-like	SwaI restriction endonuclease
PF25123.1	SWAP1_C	SUPPRESSOR-OF-WHITE-APRICOT-like, C-terminal
PF24707.2	Swc3	Swc3
PF26242.1	Swc3_C	Swc3, C-terminal domain
PF17330.8	SWC7	SWR1 chromatin-remodelling complex, sub-unit Swc7
PF20497.4	SWI-SNF_Ssr4_C	SWI/SNF and RSC complexes subunit Ssr4 C-terminal
PF08549.16	SWI-SNF_Ssr4_N	SWI/SNF and RSC complexes subunit Ssr4 N-terminal
PF18766.8	SWI2_SNF2	SWI2/SNF2 ATPase
PF07962.18	Swi3	Replication Fork Protection Component Swi3
PF07061.17	Swi5	Swi5
PF18530.8	Swi6_N	Swi6 N-terminal domain
PF02201.24	SWIB	SWIB/MDM2 domain
PF26291.1	SWIB_eIF2D	eIF2D, SWIB domain
PF04434.23	SWIM	SWIM zinc finger
PF04433.24	SWIRM	SWIRM domain
PF16495.11	SWIRM-assoc_1	SWIRM-associated region 1
PF16496.11	SWIRM-assoc_2	SWIRM-associated domain at the N-terminal
PF16498.11	SWIRM-assoc_3	SWIRM-associated domain at the C-terminal
PF17083.11	Swm2	Nucleolar protein Swm2
PF13753.13	SWM_repeat	Putative flagellar system-associated repeat
PF17423.7	SwrA	Swarming motility protein
PF21693.3	SWT1_3rd	Transcriptional protein SWT1, C-terminal domain
PF19588.4	SxtJ	Saxitoxin biosynthesis operon protein SxtJ
PF04099.19	Sybindin	Sybindin-like family 
